wellLocation,Cycle_Number1,Cycle_Number2,Cycle_Number3,Cycle_Number4,Cycle_Number5,Cycle_Number6,Cycle_Number7,Cycle_Number8,Cycle_Number9,Cycle_Number10,Cycle_Number11,Cycle_Number12,Cycle_Number13,Cycle_Number14,Cycle_Number15,Cycle_Number16,Cycle_Number17,Cycle_Number18,Cycle_Number19,Cycle_Number20,Cycle_Number21,Cycle_Number22,Cycle_Number23,Cycle_Number24,Cycle_Number25,Cycle_Number26,Cycle_Number27,Cycle_Number28,Cycle_Number29,Cycle_Number30,Cycle_Number31,Cycle_Number32,Cycle_Number33,Cycle_Number34,Cycle_Number35
M18,-15.80100474,-6.67915601,-7.553392422,-5.220207053,-5.667482611,-0.911080595,0.1112111,0.367884557,1.796920401,2.329094657,5.494842583,3.824606702,5.791609714,6.675784013,5.594412382,3.309642782,5.282718474,3.678092395,9.492235555,5.497954241,8.183462556,5.692029274,9.217307662,3.694480511,4.740198932,2.598137267,-2.099704398,4.616348409,0.092631353,1.252928203,1.400215029,-1.250989191,-5.420483715,-5.800706498,-4.914707933
M19,-7.332333314,-5.027192373,-5.308791375,-3.290818494,-5.310526496,0.644591465,0.575879004,1.172091879,-3.367863007,-0.541328285,3.514132312,2.991636075,5.891379752,3.845125372,6.159373826,8.521426833,1.613411195,6.67338474,6.458820487,6.379361699,8.688982247,6.463428625,4.855267088,2.407890114,4.748810243,5.586732988,2.487251769,2.187327313,-0.563201364,3.005982369,-0.907137751,0.111537296,-5.858233507,-6.284575461,-4.924597153
M20,-15.68941021,-12.91141622,-6.035465134,-6.252269294,-3.462373214,0.408806767,-1.059585546,0.393615543,3.127590942,-0.160274192,2.003726915,3.792884447,4.098764463,5.473019977,6.398088173,5.835907543,3.3807147,4.545568454,4.906092002,2.958396932,5.731592998,5.482859837,6.124463122,4.316308353,4.626288461,3.765597912,2.405710467,0.508979976,0.352288054,0.498039619,1.673814348,2.547126727,-4.361397395,-2.154175529,-3.633371234
M21,-24.25492058,-17.87225759,-10.17039346,-8.068062912,-4.569581052,-3.363613137,-3.279718893,0.869411742,0.262144996,2.460994801,4.659503342,2.690173735,5.042703024,3.776311934,7.605694693,5.208036178,6.694308575,2.972676025,6.106944549,7.035859113,8.389136581,6.123499864,6.110827962,5.349763225,1.66828041,1.127337309,2.853422771,0.990229362,1.322187249,1.760943896,0.400637571,-2.366983184,-2.294142427,-2.598192949,-7.237203981
M23,-15.87175854,-12.37571698,-4.750092165,-6.105566993,4.592813252,2.506863889,3.852369554,7.385176675,5.860817746,1.992929516,4.668206592,1.412696832,0.78843982,0.380922148,-0.888600072,3.268701815,0.708203538,0.137605459,-1.709731404,1.673633425,6.069868533,13.89110431,33.26099366,68.05110629,126.932033,248.1636605,451.4546349,784.0988916,1295.319688,1820.044383,2315.592593,2712.071722,2987.556566,3161.143628,3278.514171
M24,-40.66235935,-20.88128772,-11.4506039,-7.294542281,2.185665789,8.315631669,11.9501042,10.10320365,8.64396553,11.01660817,10.83625994,7.399902628,8.155593542,5.409857391,-0.13655314,0.749074788,-3.304056348,-4.822059751,-11.22649929,-8.032022605,-3.458572091,4.246269359,23.41076371,65.22460917,140.4852295,286.5117051,534.7130388,923.2564479,1455.912221,1964.421111,2400.573896,2718.261892,2924.671781,3049.5956,3132.416486
N1,-13.71849967,-10.00510099,-3.358767222,3.928652061,5.152023568,6.930446861,10.70794384,10.41259471,10.81218068,7.680359217,8.429072002,3.670947651,-0.120178029,1.004600452,-2.475750414,1.939103414,10.58905842,39.45835952,84.20252422,182.1937712,344.3737536,628.008625,1063.30528,1514.257812,1941.271325,2274.649492,2485.049661,2595.157969,2642.441761,2659.01054,2659.39714,2654.594402,2647.043979,2635.770755,2623.172565
N2,-22.81980099,-9.456904524,-2.145002798,1.258863598,7.996974207,9.729134719,8.48476223,10.01197725,3.145332252,3.642014047,-1.57725529,-5.299394913,-9.472998649,-9.450470253,-9.186245129,-7.603652321,-0.649966598,19.88306996,60.11725141,134.0285974,261.3748674,497.3224715,864.7070449,1353.295958,1832.647519,2245.689605,2534.223049,2695.214699,2769.414795,2791.527733,2792.12426,2783.632302,2774.140887,2760.275205,2745.929211
N3,-32.98768504,-15.93240243,-7.998233915,2.83003082,6.166524462,10.67525587,7.135811844,8.486913144,6.696190502,4.214446252,3.702002452,1.673194465,1.77326494,-0.145025785,-1.520993821,1.49495062,4.900263935,18.74636894,47.95730427,105.2011604,202.1491618,383.3085652,683.4005099,1136.805829,1630.689327,2117.597986,2506.21366,2747.803225,2861.818498,2898.647115,2900.570349,2892.805254,2882.093526,2867.556189,2851.977388
N4,-23.80827536,-9.97517204,-3.964725374,2.791042364,3.853359557,8.435552148,5.052679571,8.590836344,4.913988037,0.413327392,3.059058858,-1.481327493,-4.16316925,-5.8021831,-7.362558035,-5.752326654,-1.846012234,15.30464326,40.85031209,95.84260298,186.8945746,373.8803599,678.1484163,1167.904481,1716.701631,2271.787167,2715.819813,2976.060396,3075.424718,3082.4592,3061.554608,3043.061408,3028.849308,3012.1217,2992.365016
